Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,31,12,.721,7.93,111.63,103.55,8.08,8.15,111.66,103.38,8.28
Phoenix Suns,34,9,.791,7.91,113.50,105.67,7.83,7.41,113.44,106.10,7.34
Utah Jazz,29,15,.659,7.57,117.53,109.81,7.72,6.98,117.08,109.96,7.12
Cleveland Cavaliers,27,18,.600,5.11,112.24,107.00,5.24,5.65,112.14,106.36,5.78
Miami Heat,28,16,.636,4.41,114.00,109.44,4.55,4.00,113.88,109.73,4.14
Memphis Grizzlies,31,15,.674,3.89,112.87,109.05,3.83,4.09,113.19,109.16,4.03
Dallas Mavericks,25,19,.568,2.73,110.63,107.65,2.99,2.46,110.41,107.74,2.68
Milwaukee Bucks,27,19,.587,3.63,112.79,109.16,3.63,2.57,112.34,109.74,2.60
Boston Celtics,23,22,.511,1.89,110.60,108.57,2.04,2.14,110.79,108.51,2.28
Toronto Raptors,21,20,.512,0.93,112.25,111.25,1.00,1.56,112.85,111.21,1.64
Brooklyn Nets,27,16,.628,2.42,112.98,110.53,2.45,1.60,112.98,111.36,1.63
Denver Nuggets,22,20,.524,1.02,111.28,110.18,1.10,1.40,111.17,109.71,1.46
Chicago Bulls,27,15,.643,2.07,113.41,111.47,1.94,1.53,113.28,111.85,1.42
Minnesota Timberwolves,21,22,.488,1.05,110.55,109.48,1.08,1.19,110.80,109.59,1.21
Philadelphia 76ers,25,18,.581,1.56,111.61,109.97,1.64,1.11,110.81,109.62,1.19
Charlotte Hornets,24,20,.545,-0.34,113.38,113.65,-0.26,-0.35,113.41,113.69,-0.28
Indiana Pacers,15,29,.341,-1.00,111.57,112.57,-1.00,-0.38,111.49,111.85,-0.36
San Antonio Spurs,16,28,.364,-0.73,110.39,111.21,-0.82,-0.71,110.87,111.67,-0.80
New York Knicks,22,22,.500,-0.27,110.17,110.49,-0.33,-0.91,109.76,110.71,-0.95
Los Angeles Clippers,22,23,.489,-1.09,107.15,108.43,-1.28,-0.84,107.13,108.17,-1.04
Atlanta Hawks,18,25,.419,-1.33,114.49,115.84,-1.35,-1.22,114.67,115.92,-1.25
Washington Wizards,23,21,.523,-1.50,110.79,112.41,-1.62,-1.50,110.51,112.11,-1.60
Los Angeles Lakers,22,22,.500,-1.39,109.54,110.90,-1.36,-1.95,109.28,111.23,-1.95
Portland Trail Blazers,18,25,.419,-3.86,111.63,115.66,-4.02,-2.85,112.33,115.34,-3.02
Sacramento Kings,18,28,.391,-4.00,110.15,114.25,-4.11,-3.71,110.40,114.21,-3.81
New Orleans Pelicans,16,28,.364,-4.55,109.16,113.81,-4.66,-3.90,109.88,113.89,-4.01
Oklahoma City Thunder,14,29,.326,-6.79,103.66,110.62,-6.96,-6.56,103.82,110.53,-6.71
Houston Rockets,13,32,.289,-8.38,107.77,116.15,-8.38,-8.52,108.02,116.54,-8.52
Orlando Magic,8,37,.178,-8.98,103.71,112.85,-9.14,-8.76,103.31,112.22,-8.91
Detroit Pistons,10,32,.238,-9.86,102.91,112.65,-9.74,-9.60,102.69,112.19,-9.50
